a b c d e f g final.parent
Scaffold306_18071 L4 SCFLD306 18071 Scaffold306 Scaffold306_18071 1 1 bbba
Scaffold306_42882 L4 SCFLD306 42882 Scaffold306 Scaffold306_42882 0 0 bbba
Scaffold306_81741 L4 SCFLD306 81741 Scaffold306 Scaffold306_81741 1 1 abab
Scaffold354_20613 L4 SCFLD354 20613 Scaffold354 Scaffold354_20613 1 1 abaa
Scaffold386_11038 L4 SCFLD386 11038 Scaffold386 Scaffold386_11038 0 0 abab
Scaffold386_118066 L4 SCFLD386 118066 Scaffold386 Scaffold386_118066 0 0 abab
Scaffold386_60182 L4 SCFLD386 60182 Scaffold386 Scaffold386_60182 1 1 abab
Scaffold387_109379 L4 SCFLD387 109379 Scaffold387 Scaffold387_109379 0 0 aaab
Scaffold387_32371 L4 SCFLD387 32371 Scaffold387 Scaffold387_32371 0 0 aaab
Scaffold387_55557 L4 SCFLD387 55557 Scaffold387 Scaffold387_55557 1 1 bbba
Scaffold40_100020 L4 SCFLD40 100020 Scaffold40 Scaffold40_100020 0 0 aaab
Scaffold40_178688 L4 SCFLD40 178688 Scaffold40 Scaffold40_178688 0 0 bbba
Scaffold40_234265 L4 SCFLD40 234265 Scaffold40 Scaffold40_234265 1 1 abaa
Scaffold40_234327 L4 SCFLD40 234327 Scaffold40 Scaffold40_234327 1 1 abab
Scaffold40_571839 L4 SCFLD40 571839 Scaffold40 Scaffold40_571839 1 1 bbba
Scaffold40_682836 L4 SCFLD40 682836 Scaffold40 Scaffold40_682836 0 0 abab
Scaffold405_269680 L4 SCFLD405 269680 Scaffold405 Scaffold405_269680 1 1 aaab
Scaffold421_135123 L4 SCFLD421 135123 Scaffold421 Scaffold421_135123 0 0 aaab
Scaffold421_154521 L4 SCFLD421 154521 Scaffold421 Scaffold421_154521 0 0 aaab
Scaffold421_231236 L4 SCFLD421 231236 Scaffold421 Scaffold421_231236 1 1 bbba
Scaffold421_245182 L4 SCFLD421 245182 Scaffold421 Scaffold421_245182 1 1 abab
Scaffold4436_7799 L4 SCFLD4436 7799 Scaffold4436 Scaffold4436_7799 1 1 aaab
Scaffold475_147600 L4 SCFLD475 147600 Scaffold475 Scaffold475_147600 1 1 aaab
Scaffold514_32019 L4 SCFLD514 32019 Scaffold514 Scaffold514_32019 1 1 bbba
Scaffold527_189486 L4 SCFLD527 189486 Scaffold527 Scaffold527_189486 1 1 abbb
Scaffold527_27990 L4 SCFLD527 27990 Scaffold527 Scaffold527_27990 1 1 bbba
Scaffold527_57794 L4 SCFLD527 57794 Scaffold527 Scaffold527_57794 0 0 aaab
Scaffold537_126582 L4 SCFLD537 126582 Scaffold537 Scaffold537_126582 1 1 aaab
Scaffold579_74191 L4 SCFLD579 74191 Scaffold579 Scaffold579_74191 0 0 abaa
Scaffold579_74208 L4 SCFLD579 74208 Scaffold579 Scaffold579_74208 0 0 aaab
Scaffold579_9364 L4 SCFLD579 9364 Scaffold579 Scaffold579_9364 1 1 abab
Scaffold579_95709 L4 SCFLD579 95709 Scaffold579 Scaffold579_95709 1 1 bbba
Scaffold579_95969 L4 SCFLD579 95969 Scaffold579 Scaffold579_95969 1 1 abaa
Scaffold591_14050 L4 SCFLD591 14050 Scaffold591 Scaffold591_14050 1 1 abaa
Scaffold591_96930 L4 SCFLD591 96930 Scaffold591 Scaffold591_96930 1 1 bbba
Scaffold595_7101 L4 SCFLD595 7101 Scaffold595 Scaffold595_7101 1 1 bbba
Scaffold609_136581 L4 SCFLD609 136581 Scaffold609 Scaffold609_136581 1 1 aaab
Scaffold609_23130 L4 SCFLD609 23130 Scaffold609 Scaffold609_23130 1 1 abaa
Scaffold708_121402 L4 SCFLD708 121402 Scaffold708 Scaffold708_121402 1 1 aaab
Scaffold708_122851 L4 SCFLD708 122851 Scaffold708 Scaffold708_122851 1 1 abaa
Scaffold790_51444 L4 SCFLD790 51444 Scaffold790 Scaffold790_51444 1 1 bbba
Scaffold833_28022 L4 SCFLD833 28022 Scaffold833 Scaffold833_28022 1 1 abaa
Scaffold833_56539 L4 SCFLD833 56539 Scaffold833 Scaffold833_56539 0 0 aaab
Scaffold833_56574 L4 SCFLD833 56574 Scaffold833 Scaffold833_56574 1 1 abab
Scaffold833_56579 L4 SCFLD833 56579 Scaffold833 Scaffold833_56579 0 0 abaa
Scaffold833_70839 L4 SCFLD833 70839 Scaffold833 Scaffold833_70839 0 0 abaa
Scaffold833_70862 L4 SCFLD833 70862 Scaffold833 Scaffold833_70862 1 1 aaab
Scaffold835_29632 L4 SCFLD835 29632 Scaffold835 Scaffold835_29632 1 1 abaa
Scaffold835_53921 L4 SCFLD835 53921 Scaffold835 Scaffold835_53921 1 1 abab
Scaffold835_53960 L4 SCFLD835 53960 Scaffold835 Scaffold835_53960 1 1 aaab
Scaffold835_67396 L4 SCFLD835 67396 Scaffold835 Scaffold835_67396 0 0 abab
Scaffold835_73216 L4 SCFLD835 73216 Scaffold835 Scaffold835_73216 0 0 aaab
Scaffold835_93416 L4 SCFLD835 93416 Scaffold835 Scaffold835_93416 0 0 abab
Scaffold835_93466 L4 SCFLD835 93466 Scaffold835 Scaffold835_93466 0 0 aaab
Scaffold853_26028 L4 SCFLD853 26028 Scaffold853 Scaffold853_26028 0 0 abaa
Scaffold853_51033 L4 SCFLD853 51033 Scaffold853 Scaffold853_51033 0 0 abaa
Scaffold853_81431 L4 SCFLD853 81431 Scaffold853 Scaffold853_81431 1 1 abaa
Scaffold857_26243 L4 SCFLD857 26243 Scaffold857 Scaffold857_26243 0 0 abaa
Scaffold857_38272 L4 SCFLD857 38272 Scaffold857 Scaffold857_38272 0 0 abaa
Scaffold857_44197 L4 SCFLD857 44197 Scaffold857 Scaffold857_44197 0 0 abaa
Scaffold857_63347 L4 SCFLD857 63347 Scaffold857 Scaffold857_63347 1 1 abbb
Scaffold877_28920 L4 SCFLD877 28920 Scaffold877 Scaffold877_28920 0 0 aaab
Scaffold877_54214 L4 SCFLD877 54214 Scaffold877 Scaffold877_54214 0 0 aaab
Scaffold877_83885 L4 SCFLD877 83885 Scaffold877 Scaffold877_83885 1 1 aaab
Scaffold881_75552 L4 SCFLD881 75552 Scaffold881 Scaffold881_75552 0 0 abaa
Scaffold881_81974 L4 SCFLD881 81974 Scaffold881 Scaffold881_81974 1 1 abbb
Scaffold93_154664 L4 SCFLD93 154664 Scaffold93 Scaffold93_154664 1 1 abaa
Scaffold93_196793 L4 SCFLD93 196793 Scaffold93 Scaffold93_196793 0 0 aaab
Scaffold93_269828 L4 SCFLD93 269828 Scaffold93 Scaffold93_269828 0 0 abaa
Scaffold93_294289 L4 SCFLD93 294289 Scaffold93 Scaffold93_294289 0 0 abaa
Scaffold93_36875 L4 SCFLD93 36875 Scaffold93 Scaffold93_36875 1 1 aaab
Scaffold934_27713 L4 SCFLD934 27713 Scaffold934 Scaffold934_27713 1 1 abaa
Scaffold934_56861 L4 SCFLD934 56861 Scaffold934 Scaffold934_56861 1 1 aaab
Scaffold940_43411 L4 SCFLD940 43411 Scaffold940 Scaffold940_43411 1 1 abab
Scaffold940_43432 L4 SCFLD940 43432 Scaffold940 Scaffold940_43432 1 1 bbba
Scaffold940_43778 L4 SCFLD940 43778 Scaffold940 Scaffold940_43778 1 1 abaa
Scaffold940_79200 L4 SCFLD940 79200 Scaffold940 Scaffold940_79200 0 0 bbba
Scaffold191_253886 L4 SCFLD191 253886 Scaffold191 Scaffold191_253886 0 0 abab
Scaffold191_351373 L4 SCFLD191 351373 Scaffold191 Scaffold191_351373 1 1 aaab
Scaffold191_352730 L4 SCFLD191 352730 Scaffold191 Scaffold191_352730 1 1 abaa
Scaffold191_369601 L4 SCFLD191 369601 Scaffold191 Scaffold191_369601 0 0 aaab
Scaffold191_373109 L4 SCFLD191 373109 Scaffold191 Scaffold191_373109 0 0 aaab
Scaffold191_3996 L4 SCFLD191 3996 Scaffold191 Scaffold191_3996 0 0 abab
Scaffold191_473203 L4 SCFLD191 473203 Scaffold191 Scaffold191_473203 0 0 aaab
Scaffold191_54952 L4 SCFLD191 54952 Scaffold191 Scaffold191_54952 1 1 abab
Scaffold191_68900 L4 SCFLD191 68900 Scaffold191 Scaffold191_68900 0 0 aaab
Scaffold191_80155 L4 SCFLD191 80155 Scaffold191 Scaffold191_80155 0 0 aaab
Scaffold221_102646 L4 SCFLD221 102646 Scaffold221 Scaffold221_102646 1 1 bbba
Scaffold221_11512 L4 SCFLD221 11512 Scaffold221 Scaffold221_11512 0 0 abbb
Scaffold221_11535 L4 SCFLD221 11535 Scaffold221 Scaffold221_11535 0 0 abab
Scaffold221_203373 L4 SCFLD221 203373 Scaffold221 Scaffold221_203373 0 0 abbb
Scaffold221_213680 L4 SCFLD221 213680 Scaffold221 Scaffold221_213680 0 0 aaab
Scaffold221_241496 L4 SCFLD221 241496 Scaffold221 Scaffold221_241496 0 0 abab
Scaffold221_241519 L4 SCFLD221 241519 Scaffold221 Scaffold221_241519 0 0 bbba
Scaffold221_253810 L4 SCFLD221 253810 Scaffold221 Scaffold221_253810 0 0 abaa
Scaffold221_253853 L4 SCFLD221 253853 Scaffold221 Scaffold221_253853 0 0 bbba
Scaffold221_265078 L4 SCFLD221 265078 Scaffold221 Scaffold221_265078 1 1 abab
Scaffold221_265130 L4 SCFLD221 265130 Scaffold221 Scaffold221_265130 0 0 abaa
Scaffold221_275786 L4 SCFLD221 275786 Scaffold221 Scaffold221_275786 0 0 abab
Scaffold221_275805 L4 SCFLD221 275805 Scaffold221 Scaffold221_275805 1 1 abbb
Scaffold221_275904 L4 SCFLD221 275904 Scaffold221 Scaffold221_275904 0 0 aaab
Scaffold221_326751 L4 SCFLD221 326751 Scaffold221 Scaffold221_326751 0 0 abaa
Scaffold221_358466 L4 SCFLD221 358466 Scaffold221 Scaffold221_358466 0 0 abaa
Scaffold221_422228 L4 SCFLD221 422228 Scaffold221 Scaffold221_422228 0 0 abaa
Scaffold221_422238 L4 SCFLD221 422238 Scaffold221 Scaffold221_422238 0 0 aaab
Scaffold221_422389 L4 SCFLD221 422389 Scaffold221 Scaffold221_422389 0 0 abab
Scaffold296_1008598 L4 SCFLD296 1008598 Scaffold296 Scaffold296_1008598 0 0 aaab
Scaffold296_1008622 L4 SCFLD296 1008622 Scaffold296 Scaffold296_1008622 0 0 abaa
Scaffold296_1028608 L4 SCFLD296 1028608 Scaffold296 Scaffold296_1028608 1 1 abbb
Scaffold296_1200692 L4 SCFLD296 1200692 Scaffold296 Scaffold296_1200692 1 1 bbba
Scaffold296_1389416 L4 SCFLD296 1389416 Scaffold296 Scaffold296_1389416 0 0 abaa
Scaffold296_1643502 L4 SCFLD296 1643502 Scaffold296 Scaffold296_1643502 1 0 abaa
Scaffold296_1845099 L4 SCFLD296 1845099 Scaffold296 Scaffold296_1845099 0 0 abab
Scaffold296_1857532 L4 SCFLD296 1857532 Scaffold296 Scaffold296_1857532 1 1 abab
Scaffold296_2117015 L4 SCFLD296 2117015 Scaffold296 Scaffold296_2117015 0 0 aaab
Scaffold296_2230868 L4 SCFLD296 2230868 Scaffold296 Scaffold296_2230868 1 0 abaa
Scaffold296_2248804 L4 SCFLD296 2248804 Scaffold296 Scaffold296_2248804 1 0 aaab
Scaffold296_2377834 L4 SCFLD296 2377834 Scaffold296 Scaffold296_2377834 0 0 aaab
Scaffold296_259706 L4 SCFLD296 259706 Scaffold296 Scaffold296_259706 1 0 abab
Scaffold296_259745 L4 SCFLD296 259745 Scaffold296 Scaffold296_259745 1 0 aaab
Scaffold296_2761026 L4 SCFLD296 2761026 Scaffold296 Scaffold296_2761026 0 0 abaa
Scaffold296_2797518 L4 SCFLD296 2797518 Scaffold296 Scaffold296_2797518 0 0 abaa
Scaffold296_2861567 L4 SCFLD296 2861567 Scaffold296 Scaffold296_2861567 1 1 aaab
Scaffold296_2861708 L4 SCFLD296 2861708 Scaffold296 Scaffold296_2861708 0 0 abaa
Scaffold296_2869386 L4 SCFLD296 2869386 Scaffold296 Scaffold296_2869386 0 0 abaa
Scaffold296_3043813 L4 SCFLD296 3043813 Scaffold296 Scaffold296_3043813 1 1 abab
Scaffold296_3110592 L4 SCFLD296 3110592 Scaffold296 Scaffold296_3110592 0 0 abaa
Scaffold296_3110595 L4 SCFLD296 3110595 Scaffold296 Scaffold296_3110595 0 0 aaab
Scaffold296_3157682 L4 SCFLD296 3157682 Scaffold296 Scaffold296_3157682 0 0 abbb
Scaffold296_3180327 L4 SCFLD296 3180327 Scaffold296 Scaffold296_3180327 1 1 abbb
Scaffold296_3278266 L4 SCFLD296 3278266 Scaffold296 Scaffold296_3278266 0 0 aaab
Scaffold296_3296440 L4 SCFLD296 3296440 Scaffold296 Scaffold296_3296440 0 0 aaab
Scaffold296_3360059 L4 SCFLD296 3360059 Scaffold296 Scaffold296_3360059 0 0 abbb
Scaffold296_3360099 L4 SCFLD296 3360099 Scaffold296 Scaffold296_3360099 0 0 aaab
Scaffold296_3386155 L4 SCFLD296 3386155 Scaffold296 Scaffold296_3386155 0 0 abaa
Scaffold296_3386168 L4 SCFLD296 3386168 Scaffold296 Scaffold296_3386168 0 0 abab
Scaffold296_3454891 L4 SCFLD296 3454891 Scaffold296 Scaffold296_3454891 0 0 abbb
Scaffold296_3501603 L4 SCFLD296 3501603 Scaffold296 Scaffold296_3501603 0 0 abbb
Scaffold296_3567878 L4 SCFLD296 3567878 Scaffold296 Scaffold296_3567878 0 0 abaa
Scaffold296_3741428 L4 SCFLD296 3741428 Scaffold296 Scaffold296_3741428 0 0 abaa
Scaffold296_3764482 L4 SCFLD296 3764482 Scaffold296 Scaffold296_3764482 1 0 abaa
Scaffold296_38844 L4 SCFLD296 38844 Scaffold296 Scaffold296_38844 1 0 abbb
Scaffold296_934648 L4 SCFLD296 934648 Scaffold296 Scaffold296_934648 0 0 abaa
Scaffold296_982209 L4 SCFLD296 982209 Scaffold296 Scaffold296_982209 1 0 abab
Scaffold296_982250 L4 SCFLD296 982250 Scaffold296 Scaffold296_982250 0 0 abaa
Scaffold454_137929 L4 SCFLD454 137929 Scaffold454 Scaffold454_137929 0 0 abab
Scaffold454_137992 L4 SCFLD454 137992 Scaffold454 Scaffold454_137992 0 0 aaab
Scaffold454_151216 L4 SCFLD454 151216 Scaffold454 Scaffold454_151216 0 0 abaa
Scaffold454_162999 L4 SCFLD454 162999 Scaffold454 Scaffold454_162999 0 0 abab
Scaffold454_179114 L4 SCFLD454 179114 Scaffold454 Scaffold454_179114 1 1 aaab
Scaffold454_218793 L4 SCFLD454 218793 Scaffold454 Scaffold454_218793 0 0 abaa
Scaffold454_34096 L4 SCFLD454 34096 Scaffold454 Scaffold454_34096 0 0 aaab
Scaffold454_35897 L4 SCFLD454 35897 Scaffold454 Scaffold454_35897 0 0 abab
Scaffold454_59813 L4 SCFLD454 59813 Scaffold454 Scaffold454_59813 1 1 abab
Scaffold454_59863 L4 SCFLD454 59863 Scaffold454 Scaffold454_59863 1 1 abbb
Scaffold454_93795 L4 SCFLD454 93795 Scaffold454 Scaffold454_93795 0 0 aaab
Scaffold789_1065764 L4 SCFLD789 1065764 Scaffold789 Scaffold789_1065764 0 0 bbba
Scaffold789_1136494 L4 SCFLD789 1136494 Scaffold789 Scaffold789_1136494 0 0 aaab
Scaffold789_1200801 L4 SCFLD789 1200801 Scaffold789 Scaffold789_1200801 0 0 aaab
Scaffold789_1321719 L4 SCFLD789 1321719 Scaffold789 Scaffold789_1321719 0 0 abaa
Scaffold789_1351898 L4 SCFLD789 1351898 Scaffold789 Scaffold789_1351898 0 0 abaa
Scaffold789_1443534 L4 SCFLD789 1443534 Scaffold789 Scaffold789_1443534 0 0 bbba
Scaffold789_1481000 L4 SCFLD789 1481000 Scaffold789 Scaffold789_1481000 0 0 abaa
Scaffold789_1587650 L4 SCFLD789 1587650 Scaffold789 Scaffold789_1587650 1 1 abbb
Scaffold789_1650169 L4 SCFLD789 1650169 Scaffold789 Scaffold789_1650169 0 0 abbb
Scaffold789_1943504 L4 SCFLD789 1943504 Scaffold789 Scaffold789_1943504 0 0 bbba
Scaffold789_1943525 L4 SCFLD789 1943525 Scaffold789 Scaffold789_1943525 1 1 abab
Scaffold789_199812 L4 SCFLD789 199812 Scaffold789 Scaffold789_199812 0 0 abab
Scaffold789_2130231 L4 SCFLD789 2130231 Scaffold789 Scaffold789_2130231 1 1 bbba
Scaffold789_217428 L4 SCFLD789 217428 Scaffold789 Scaffold789_217428 1 1 abab
Scaffold789_2207249 L4 SCFLD789 2207249 Scaffold789 Scaffold789_2207249 0 0 aaab
Scaffold789_2215953 L4 SCFLD789 2215953 Scaffold789 Scaffold789_2215953 1 0 abaa
Scaffold789_2289951 L4 SCFLD789 2289951 Scaffold789 Scaffold789_2289951 0 0 abab
Scaffold789_2303247 L4 SCFLD789 2303247 Scaffold789 Scaffold789_2303247 0 0 abaa
Scaffold789_2573120 L4 SCFLD789 2573120 Scaffold789 Scaffold789_2573120 0 0 aaab
Scaffold789_2718406 L4 SCFLD789 2718406 Scaffold789 Scaffold789_2718406 1 0 bbba
Scaffold789_2748958 L4 SCFLD789 2748958 Scaffold789 Scaffold789_2748958 0 0 abaa
Scaffold789_2861183 L4 SCFLD789 2861183 Scaffold789 Scaffold789_2861183 0 0 abaa
Scaffold789_293307 L4 SCFLD789 293307 Scaffold789 Scaffold789_293307 1 1 abbb
Scaffold789_2973268 L4 SCFLD789 2973268 Scaffold789 Scaffold789_2973268 0 0 abaa
Scaffold789_3195269 L4 SCFLD789 3195269 Scaffold789 Scaffold789_3195269 1 1 abab
Scaffold789_3214721 L4 SCFLD789 3214721 Scaffold789 Scaffold789_3214721 0 0 abaa
Scaffold789_3293692 L4 SCFLD789 3293692 Scaffold789 Scaffold789_3293692 1 1 abbb
Scaffold789_356516 L4 SCFLD789 356516 Scaffold789 Scaffold789_356516 0 0 abaa
Scaffold789_690245 L4 SCFLD789 690245 Scaffold789 Scaffold789_690245 0 0 bbba
Scaffold789_798528 L4 SCFLD789 798528 Scaffold789 Scaffold789_798528 0 0 aaab
Scaffold789_897632 L4 SCFLD789 897632 Scaffold789 Scaffold789_897632 0 0 aaab
Scaffold789_909815 L4 SCFLD789 909815 Scaffold789 Scaffold789_909815 0 0 bbba
Scaffold789_917947 L4 SCFLD789 917947 Scaffold789 Scaffold789_917947 0 0 aaab
Scaffold789_950289 L4 SCFLD789 950289 Scaffold789 Scaffold789_950289 1 1 bbba
Scaffold9877_105111 L4 SCFLD9877 105111 Scaffold9877 Scaffold9877_105111 0 0 bbba
Scaffold9877_1117898 L4 SCFLD9877 1117898 Scaffold9877 Scaffold9877_1117898 0 0 abab
Scaffold9877_1230799 L4 SCFLD9877 1230799 Scaffold9877 Scaffold9877_1230799 1 1 abaa
Scaffold9877_1247536 L4 SCFLD9877 1247536 Scaffold9877 Scaffold9877_1247536 1 0 abab
Scaffold9877_1468608 L4 SCFLD9877 1468608 Scaffold9877 Scaffold9877_1468608 0 0 abab
Scaffold9877_1589441 L4 SCFLD9877 1589441 Scaffold9877 Scaffold9877_1589441 0 0 aaab
Scaffold9877_1599430 L4 SCFLD9877 1599430 Scaffold9877 Scaffold9877_1599430 1 1 bbba
Scaffold9877_1839020 L4 SCFLD9877 1839020 Scaffold9877 Scaffold9877_1839020 1 1 abab
Scaffold9877_1858960 L4 SCFLD9877 1858960 Scaffold9877 Scaffold9877_1858960 0 0 abab
Scaffold9877_1941072 L4 SCFLD9877 1941072 Scaffold9877 Scaffold9877_1941072 0 0 aaab
Scaffold9877_2150643 L4 SCFLD9877 2150643 Scaffold9877 Scaffold9877_2150643 1 0 abaa
Scaffold9877_2394518 L4 SCFLD9877 2394518 Scaffold9877 Scaffold9877_2394518 0 0 aaab
Scaffold9877_2748905 L4 SCFLD9877 2748905 Scaffold9877 Scaffold9877_2748905 0 0 aaab
Scaffold9877_2764833 L4 SCFLD9877 2764833 Scaffold9877 Scaffold9877_2764833 1 1 bbba
Scaffold9877_2787691 L4 SCFLD9877 2787691 Scaffold9877 Scaffold9877_2787691 1 0 abab
Scaffold9877_41542 L4 SCFLD9877 41542 Scaffold9877 Scaffold9877_41542 1 1 abaa
Scaffold9877_41544 L4 SCFLD9877 41544 Scaffold9877 Scaffold9877_41544 1 1 abab
Scaffold9877_41574 L4 SCFLD9877 41574 Scaffold9877 Scaffold9877_41574 1 1 bbba
Scaffold9877_471164 L4 SCFLD9877 471164 Scaffold9877 Scaffold9877_471164 0 0 abaa
Scaffold9877_958097 L4 SCFLD9877 958097 Scaffold9877 Scaffold9877_958097 0 0 abab
Scaffold9888_1045203 L4 SCFLD9888 1045203 Scaffold9888 Scaffold9888_1045203 1 0 aaab
Scaffold9888_1204200 L4 SCFLD9888 1204200 Scaffold9888 Scaffold9888_1204200 1 1 abbb
Scaffold9888_1422641 L4 SCFLD9888 1422641 Scaffold9888 Scaffold9888_1422641 0 0 abaa
Scaffold9888_172978 L4 SCFLD9888 172978 Scaffold9888 Scaffold9888_172978 1 1 abab
Scaffold9888_173007 L4 SCFLD9888 173007 Scaffold9888 Scaffold9888_173007 0 0 abaa
Scaffold9888_1730237 L4 SCFLD9888 1730237 Scaffold9888 Scaffold9888_1730237 1 1 bbba
Scaffold9888_1730245 L4 SCFLD9888 1730245 Scaffold9888 Scaffold9888_1730245 1 1 abab
Scaffold9888_174887 L4 SCFLD9888 174887 Scaffold9888 Scaffold9888_174887 0 0 aaab
Scaffold9888_179017 L4 SCFLD9888 179017 Scaffold9888 Scaffold9888_179017 1 1 abbb
Scaffold9888_179044 L4 SCFLD9888 179044 Scaffold9888 Scaffold9888_179044 0 0 abab
Scaffold9888_179045 L4 SCFLD9888 179045 Scaffold9888 Scaffold9888_179045 1 0 aaab
Scaffold9888_1849305 L4 SCFLD9888 1849305 Scaffold9888 Scaffold9888_1849305 0 0 abaa
Scaffold9888_1988723 L4 SCFLD9888 1988723 Scaffold9888 Scaffold9888_1988723 1 0 abbb
Scaffold9888_2075660 L4 SCFLD9888 2075660 Scaffold9888 Scaffold9888_2075660 0 0 abaa
Scaffold9888_2147357 L4 SCFLD9888 2147357 Scaffold9888 Scaffold9888_2147357 0 0 bbba
Scaffold9888_2240849 L4 SCFLD9888 2240849 Scaffold9888 Scaffold9888_2240849 0 1 abaa
Scaffold9888_2338047 L4 SCFLD9888 2338047 Scaffold9888 Scaffold9888_2338047 1 0 aaab
Scaffold9888_269931 L4 SCFLD9888 269931 Scaffold9888 Scaffold9888_269931 0 0 abaa
Scaffold9888_331246 L4 SCFLD9888 331246 Scaffold9888 Scaffold9888_331246 0 0 abab
Scaffold9888_777394 L4 SCFLD9888 777394 Scaffold9888 Scaffold9888_777394 0 0 aaab
Scaffold9939_1028984 L4 SCFLD9939 1028984 Scaffold9939 Scaffold9939_1028984 1 1 abbb
Scaffold9939_1056610 L4 SCFLD9939 1056610 Scaffold9939 Scaffold9939_1056610 0 0 abaa
Scaffold9939_1077286 L4 SCFLD9939 1077286 Scaffold9939 Scaffold9939_1077286 0 0 aaab
Scaffold9939_1077304 L4 SCFLD9939 1077304 Scaffold9939 Scaffold9939_1077304 0 0 abbb
Scaffold9939_1118387 L4 SCFLD9939 1118387 Scaffold9939 Scaffold9939_1118387 0 0 abbb
Scaffold9939_126872 L4 SCFLD9939 126872 Scaffold9939 Scaffold9939_126872 0 0 abaa
Scaffold9939_13069 L4 SCFLD9939 13069 Scaffold9939 Scaffold9939_13069 0 0 abaa
Scaffold9939_1313436 L4 SCFLD9939 1313436 Scaffold9939 Scaffold9939_1313436 0 0 abaa
Scaffold9939_1639689 L4 SCFLD9939 1639689 Scaffold9939 Scaffold9939_1639689 1 1 aaab
Scaffold9939_1685502 L4 SCFLD9939 1685502 Scaffold9939 Scaffold9939_1685502 0 0 aaab
Scaffold9939_24877 L4 SCFLD9939 24877 Scaffold9939 Scaffold9939_24877 0 0 abaa
Scaffold9939_249621 L4 SCFLD9939 249621 Scaffold9939 Scaffold9939_249621 1 1 aaab
Scaffold9939_249645 L4 SCFLD9939 249645 Scaffold9939 Scaffold9939_249645 0 0 abaa
Scaffold9939_707358 L4 SCFLD9939 707358 Scaffold9939 Scaffold9939_707358 0 0 abbb
Scaffold9939_724576 L4 SCFLD9939 724576 Scaffold9939 Scaffold9939_724576 0 0 aaab
Scaffold9939_724678 L4 SCFLD9939 724678 Scaffold9939 Scaffold9939_724678 1 1 abab
Scaffold9939_728923 L4 SCFLD9939 728923 Scaffold9939 Scaffold9939_728923 0 0 aaab
Scaffold9939_728930 L4 SCFLD9939 728930 Scaffold9939 Scaffold9939_728930 0 0 abbb
Scaffold9939_772756 L4 SCFLD9939 772756 Scaffold9939 Scaffold9939_772756 1 0 aaab
Scaffold9939_945516 L4 SCFLD9939 945516 Scaffold9939 Scaffold9939_945516 0 0 abaa
Scaffold9954_1009642 L4 SCFLD9954 1009642 Scaffold9954 Scaffold9954_1009642 0 0 aaab
Scaffold9954_134579 L4 SCFLD9954 134579 Scaffold9954 Scaffold9954_134579 0 0 aaab
Scaffold9954_260566 L4 SCFLD9954 260566 Scaffold9954 Scaffold9954_260566 1 1 abaa
Scaffold9954_260590 L4 SCFLD9954 260590 Scaffold9954 Scaffold9954_260590 0 0 aaab
Scaffold9954_316402 L4 SCFLD9954 316402 Scaffold9954 Scaffold9954_316402 0 0 aaab
Scaffold9954_349199 L4 SCFLD9954 349199 Scaffold9954 Scaffold9954_349199 0 0 aaab
Scaffold9954_349371 L4 SCFLD9954 349371 Scaffold9954 Scaffold9954_349371 0 0 abaa
Scaffold9954_379014 L4 SCFLD9954 379014 Scaffold9954 Scaffold9954_379014 0 0 abaa
Scaffold9954_525303 L4 SCFLD9954 525303 Scaffold9954 Scaffold9954_525303 1 1 aaab
Scaffold9954_63083 L4 SCFLD9954 63083 Scaffold9954 Scaffold9954_63083 1 1 abab
Scaffold9954_652036 L4 SCFLD9954 652036 Scaffold9954 Scaffold9954_652036 0 0 abaa
Scaffold9954_784227 L4 SCFLD9954 784227 Scaffold9954 Scaffold9954_784227 1 0 abab
Scaffold9954_94607 L4 SCFLD9954 94607 Scaffold9954 Scaffold9954_94607 0 0 abab
Scaffold9954_94753 L4 SCFLD9954 94753 Scaffold9954 Scaffold9954_94753 0 0 aaab
Scaffold9954_99575 L4 SCFLD9954 99575 Scaffold9954 Scaffold9954_99575 0 0 aaab
Scaffold1298_24475 L5 SCFLD1298 24475 Scaffold1298 Scaffold1298_24475 1 1 abbb
Scaffold1561_1286 L5 SCFLD1561 1286 Scaffold1561 Scaffold1561_1286 1 1 abbb
Scaffold1561_3313 L5 SCFLD1561 3313 Scaffold1561 Scaffold1561_3313 0 0 abbb
Scaffold1579_29409 L5 SCFLD1579 29409 Scaffold1579 Scaffold1579_29409 1 1 aaab
Scaffold1579_29422 L5 SCFLD1579 29422 Scaffold1579 Scaffold1579_29422 1 1 abaa
Scaffold1637_1364 L5 SCFLD1637 1364 Scaffold1637 Scaffold1637_1364 1 1 aaab
Scaffold1798_21537 L5 SCFLD1798 21537 Scaffold1798 Scaffold1798_21537 1 1 abaa
Scaffold183_79940 L5 SCFLD183 79940 Scaffold183 Scaffold183_79940 1 1 aaab
Scaffold187_105982 L5 SCFLD187 105982 Scaffold187 Scaffold187_105982 0 0 abab
Scaffold187_106018 L5 SCFLD187 106018 Scaffold187 Scaffold187_106018 1 1 abbb
Scaffold187_146088 L5 SCFLD187 146088 Scaffold187 Scaffold187_146088 1 1 abab
Scaffold187_21115 L5 SCFLD187 21115 Scaffold187 Scaffold187_21115 1 1 bbba
Scaffold187_419880 L5 SCFLD187 419880 Scaffold187 Scaffold187_419880 0 0 abaa
Scaffold2294_9999 L5 SCFLD2294 9999 Scaffold2294 Scaffold2294_9999 1 1 abaa
